Text OCR,Text Char
美猴王领一群猿猴猕猴马猴等分派了君臣佐使朝游花果,美猴王領一群猿猴獼猴馬猴等分派了君臣佐使朝遊花果
山暮宿水帘洞合契同情不入飞鸟之丛不从走兽之类独自,山暮宿水簾洞合契同情不入飛鳥之叢不從走獸之類獨自
为王不胜欢乐是以,為王不勝歡樂是以
春采百花为饮食夏寻诸果作生涯,春採百花為飲食夏尋諸果作生涯
秋收芋栗延时节冬觅黄精度岁华,秋收芋栗延時節冬覓黃精度歲華
美猴王享乐天真何期有三五百载一日与群猴喜宴之,美猴王享樂天真何期有三五百載一日與群猴喜宴之
间忽然忧恼堕下泪来众猴慌忙罗拜道大王何为烦恼猴,間忽然憂惱墮下淚來眾猴慌忙羅拜道大王何為煩惱猴
王道我虽在欢喜之时却有一点儿远虑故此烦恼众猴又笑,王道我雖在歡喜之時卻有一點兒遠慮故此煩惱眾猴又笑
道大王好不知足我等日日欢会在仙山福地古洞神洲不,道大王好不知足我等日日歡會在仙山福地古洞神洲不
伏麒麟辖不伏凤凰管又不伏人间王位所拘束自由自在乃无,伏麒麟轄不伏鳳凰管又不伏人間王位所拘束自由自在乃無
量之福为何远虑而忧也猴王道今日虽不归人王法律不惧,量之福為何遠慮而憂也猴王道今日雖不歸人王法律不懼
禽兽威严将来年老血衰暗中有阎王老子管[MASK]一旦身亡可不,禽獸威嚴將來年老血衰暗中有閻王老子管著一旦身亡可不
枉生世界之中不得久注天人之内众猴闻此言一个个掩面悲,枉生世界之中不得久注天人之內眾猴聞此言一個個掩面悲
啼俱以无常为虑,啼俱以無常為慮
只见那班部中忽跳出一个通背猿猴厉声高叫道大王若,只見那班部中忽跳出一個通背猿猴厲聲高叫道大王若
是这般远虑真所谓道心开发也如今五虫之内惟有三等,是這般遠慮真所謂道心開發也如今五蟲之內惟有三等
名色不伏阎王老子所管猴王道你知那三等人[MASK]猿猴道,名色不伏閻王老子所管猴王道你知那三等人猿猴道
乃是佛与仙与神圣三者躲过轮回[MASK]不生不灭与天地山川齐,乃是佛與仙與神聖三者躲過輪迴不生不滅與天地山川齊
寿猴王道此三者居于何所猿猴道他只在阎浮世界,壽猴王道此三者居於何所猿猴道他只在閻浮世界
之中古洞仙山之内猴王闻之满心欢喜道我明日就辞汝,之中古洞仙山之內猴王聞之滿心歡喜道我明日就辭汝
等下山云游海角远涉天涯务必访此三者学一个不老长生,等下山雲遊海角遠涉天涯務必訪此三者學一個不老長生
常躲过阎君之难噫这句话顿教跳出轮回网致使齐天大圣,常躲過閻君之難噫這句話頓教跳出輪迴網致使齊天大聖
成众猴鼓掌称扬都道善哉善哉我等明日越岭登山广,成眾猴鼓掌稱揚都道善哉善哉我等明日越嶺登山廣
寻些果品大设筵宴送大王也,尋些果品大設筵宴送大王也
次日众猴果去采仙桃摘异果刨山药[MASK]黄精芝兰香蕙,次日眾猴果去採仙桃摘異果刨山藥斸黃精芝蘭香蕙
瑶草奇花般般件件整整齐齐摆开石凳石桌排列仙酒仙[MASK],瑤草奇花般般件件整整齊齊擺開石凳石桌排列仙酒仙
但见那,但見那
金丸珠弹红绽黄肥金丸珠弹腊櫻桃色真甘美红,金丸珠彈紅綻黃肥金丸珠彈臘櫻桃色真甘美紅
绽黄肥熟梅子味果香酸鲜龙眼肉甜皮薄火荔枝核小,綻黃肥熟梅子味果香酸鮮龍眼肉甜皮薄火荔枝核小
囊红林檎碧实连枝献枇杷缃苞带叶擎兔头梨子鸡心,囊紅林檎碧實連枝獻枇杷緗苞帶葉擎兔頭梨子雞心
枣消渴除烦更解酲香桃烂杏美甘甘似玉液琼浆脆李,棗消渴除煩更解酲香桃爛杏美甘甘似玉液瓊漿脆李
杨梅酸荫荫如脂酥膏酪红囊黑子熟西瓜四瓣黄皮大柿,楊梅酸蔭蔭如脂酥膏酪紅囊黑子熟西瓜四瓣黃皮大柿
子石榴裂破丹砂粒现火晶珠芋栗剖开坚硬肉团金玛,子石榴裂破丹砂粒現火晶珠芋栗剖開堅硬肉團金瑪
瑙胡桃银杏可传茶椰子葡萄能做酒榛松榧柰满盘盛,瑙胡桃銀杏可傳茶椰子葡萄能做酒榛松榧柰滿盤盛
橘蔗柑橙盈案摆熟煨山药烂煮黄精捣碎茯苓并薏苡,橘蔗柑橙盈案擺熟煨山藥爛煮黃精搗碎茯苓並薏苡
石锅微火漫炊羹人间纵有珍[MASK]味怎比山猴乐更宁,石鍋微火漫炊羹人間縱有珍饈味怎比山猴樂更寧
群猴尊美猴王上坐各依齿肩排于下边一个个轮流上前奉酒,群猴尊美猴王上坐各依齒肩排於下邊一個個輪流上前奉酒
奉花奉果痛饮了一日次日美猴王早起教小的们替我,奉花奉果痛飲了一日次日美猴王早起教小的們替我
折些枯松编作[MASK]子取个竹竿作篙收拾些果品之类我将去,折些枯松編作子取個竹竿作篙收拾些果品之類我將去
也果独自登[MASK]尽力撑开飘飘荡荡径向大海波中趁天风,也果獨自登儘力撐開飄飄蕩蕩徑向大海波中趁天風
来渡南贍部洲地界这一去正是那,來渡南贍部洲地界這一去正是那
天产仙猴道行隆离山驾[MASK]趁天风,天產仙猴道行隆離山駕趁天風
飘洋过海寻仙道立志潜心建大功,飄洋過海尋仙道立志潛心建大功
有分有缘休俗愿无忧无虑会元龙,有分有緣休俗願無憂無慮會元龍
料应必遇知音者说破源流万法通,料應必遇知音者說破源流萬法通
也是他运至时来自登木[MASK]之后连日东南风紧将他送到西北,也是他運至時來自登木之後連日東南風緊將他送到西北
岸前乃是南赡部洲地界持篙试水偶得浅水弃了[MASK]子跳上,岸前乃是南贍部洲地界持篙試水偶得淺水棄了子跳上
岸来只见海边有人捕鱼打雁穵蛤淘盐他走近前弄个把,岸來只見海邊有人捕魚打雁穵蛤淘鹽他走近前弄個把
戏妆个[MASK]虎[MASK]吓得那些人丢筐弃网四散奔跑将那跑不动,戲妝個虎嚇得那些人丟筐棄網四散奔跑將那跑不動
的拿住一个剥了他[MASK]衣裳也学人穿在身上摇摇摆摆穿州过,的拿住一個剝了他衣裳也學人穿在身上搖搖擺擺穿州過
府在市廛中学人礼学人话朝餐夜宿一心里访问佛仙神圣,府在市廛中學人禮學人話朝餐夜宿一心裏訪問佛仙神聖
之道觅个长生不老之方见世人都是为名为利之徒更无一个,之道覓個長生不老之方見世人都是為名為利之徒更無一個
为身命者正是那,為身命者正是那
争名夺利几时休早起迟眠不自由,爭名奪利幾時休早起遲眠不自由
骑[MASK]驴骡思骏马官居宰相望王侯,騎著驢騾思駿馬官居宰相望王侯
只愁衣食耽劳碌何怕阎君就取勾,只愁衣食耽勞碌何怕閻君就取勾
继子荫孙图富贵更无一个肯回头,繼子蔭孫圖富貴更無一個肯回頭
猴王参访仙道无缘得遇在于南赡部洲串长城游小县,猴王參訪仙道無緣得遇在於南贍部洲串長城遊小縣
不觉八九年[MASK]忽行至西洋大海他想[MASK]海外必有神仙独自,不覺八九年餘忽行至西洋大海他想著海外必有神仙獨自
个依前作[MASK]又飘过西海直至西牛贺洲地界登岸遍访多时,個依前作又飄過西海直至西牛賀洲地界登岸遍訪多時
忽见一座高山秀丽林麓幽深他也不怕狼虫不惧虎豹登[MASK],忽見一座高山秀麗林麓幽深他也不怕狼蟲不懼虎豹登
顶上观看果是好山,頂上觀看果是好山
千峰排戟万仞开屏日映岚光轻锁翠雨收黛色冷含,千峰排戟萬仞開屏日映嵐光輕鎖翠雨收黛色冷含
青瘦[MASK]缠老树古渡界幽程奇花瑞草修竹乔松修竹,青瘦籐纏老樹古渡界幽程奇花瑞草修竹喬松修竹
乔松万载常青欺福地奇花瑞草四时不谢赛蓬瀛幽,喬松萬載常青欺福地奇花瑞草四時不謝賽蓬瀛幽
鸟啼声近源泉响溜清重重谷壑芝兰绕处处[MASK]崖苔藓,鳥啼聲近源泉響溜清重重谷壑芝蘭繞處處巉崖苔蘚
生起伏峦头龙脉好必有高人隐姓名,生起伏巒頭龍脈好必有高人隱姓名
正观看间忽闻得林深之处有人言语急忙趋步穿入林,正觀看間忽聞得林深之處有人言語急忙趨步穿入林
中侧耳而听原来是歌唱之声歌曰,中側耳而聽原來是歌唱之聲歌曰
观棋柯烂伐木丁丁云边谷口徐行卖薪沽酒狂笑,觀棋柯爛伐木丁丁雲邊谷口徐行賣薪沽酒狂笑
自陶情苍[MASK]秋高对月枕松根一觉天明认旧林登崖,自陶情蒼逕秋高對月枕松根一覺天明認舊林登崖
过岭持斧断枯[MASK],過嶺持斧斷枯
收来成一担行歌市上易米三升,收來成一擔行歌市上易米三升
更无些子争[MASK]时价平平不会机谋巧算没荣辱恬淡延,更無些子爭競時價平平不會機謀巧算沒榮辱恬淡延
生相逢处非仙即道静坐讲黄庭,生相逢處非仙即道靜坐講黃庭
美猴王听得此言满心欢喜道神仙原来藏在这里即忙跳入,美猴王聽得此言滿心歡喜道神仙原來藏在這裏即忙跳入
里面仔细再看乃是一个樵子在那里举斧砍柴但看他打扮,裏面仔細再看乃是一個樵子在那裏舉斧砍柴但看他打扮
非常,非常
头上戴箬笠乃是新笋初脱之箨身上穿布衣乃是木,頭上戴箬笠乃是新筍初脫之籜身上穿布衣乃是木
绵[MASK]就之纱腰间系环绦乃是老蚕口吐之丝足下踏草,綿撚就之紗腰間繫環絛乃是老蠶口吐之絲足下踏草
履乃是枯莎槎就之爽手执[MASK]钢斧担挽火麻绳扳松,履乃是枯莎槎就之爽手執鋼斧擔挽火麻繩扳松
劈枯树争似此樵能,劈枯樹爭似此樵能
猴王近前叫道老神仙弟子起手那樵汉慌忙丢了,猴王近前叫道老神仙弟子起手那樵漢慌忙丟了
斧转身答礼道不当人不当人我拙汉衣食不全怎敢当,斧轉身答禮道不當人不當人我拙漢衣食不全怎敢當
神仙二字[MASK]猴王道你不是神仙如何说出神仙的话来樵,神仙二字猴王道你不是神仙如何說出神仙的話來樵
夫道我说甚么神仙话[MASK]猴王道我才来至林边只听的你说,夫道我說甚麼神仙話猴王道我才來至林邊只聽的你說
相逢处非仙即道静坐讲黄庭黄庭乃道德真言非神仙,相逢處非仙即道靜坐講黃庭黃庭乃道德真言非神仙
而何樵夫笑道实不瞒你说这个词名做满庭芳乃一神仙,而何樵夫笑道實不瞞你說這個詞名做滿庭芳乃一神仙
教我的那神仙与我舍下相邻他见我家事劳苦日常烦恼教,教我的那神仙與我舍下相鄰他見我家事勞苦日常煩惱教
我遇烦恼时即把这词儿念念一则散心二则解困我才有些,我遇煩惱時即把這詞兒念念一則散心二則解困我才有些
不足处思虑故此念念不期被你听了猴王道你家既与神,不足處思慮故此念念不期被你聽了猴王道你家既與神
仙相邻何不从他修行学得个不老之方却不是好樵夫道,仙相鄰何不從他修行學得個不老之方卻不是好樵夫道
我一生命苦自幼蒙父母养育至八九岁才知人事不幸父丧,我一生命苦自幼蒙父母養育至八九歲才知人事不幸父喪
母亲居孀再无兄弟姊妹只我一人没奈何早晚侍奉如今,母親居孀再無兄弟姊妹只我一人沒奈何早晚侍奉如今
母老一发不敢抛离却又田园荒芜衣食不足只得斫两束柴,母老一發不敢拋離卻又田園荒蕪衣食不足只得斫兩束柴
薪挑向市廛之间货几文钱籴几升米自炊自造安排些茶饭,薪挑向市廛之間貨幾文錢糴幾升米自炊自造安排些茶飯
供养老母所以不能修行,供養老母所以不能修行
猴王道据你说起来乃是一个行孝的君子向后必有好,猴王道據你說起來乃是一個行孝的君子向後必有好
处但望你指与我那神仙住处却好拜访去也樵夫道不远,處但望你指與我那神仙住處卻好拜訪去也樵夫道不遠
不远此山叫做灵台方寸山山中有座斜月三星洞那洞,不遠此山叫做靈臺方寸山山中有座斜月三星洞那洞
中有一个神仙称名须菩提祖师那祖师出去的徒弟也不,中有一個神仙稱名須菩提祖師那祖師出去的徒弟也不
计其数见今还有三四十人从他修行你顺那条小路儿向南行,計其數見今還有三四十人從他修行你順那條小路兒向南行
七八里远近即是他家了猴王用手扯住樵夫道老兄你便同,七八里遠近即是他家了猴王用手扯住樵夫道老兄你便同
我去去若还得了好处决不忘你指引之恩樵夫道你这汉,我去去若還得了好處決不忘你指引之恩樵夫道你這漢
子甚不通变我方才这般与你说了你还不省假若我与你去,子甚不通變我方才這般與你說了你還不省假若我與你去
了却不误了我的生意老母何人奉养我要斫柴你自去自,了卻不誤了我的生意老母何人奉養我要斫柴你自去自
去 ,去
猴王听说只得相辞出深林找上路径过一山坡约有七,猴王聽說只得相辭出深林找上路徑過一山坡約有七
八里远果然望见一座洞府挺身观看真好去处但见,八里遠果然望見一座洞府挺身觀看真好去處但見
烟霞散彩日月摇光千株老柏万节修篁千株老,煙霞散彩日月搖光千株老柏萬節修篁千株老
柏带雨半空青冉冉万节修篁含烟一壑色苍苍门外奇,柏帶雨半空青冉冉萬節修篁含煙一壑色蒼蒼門外奇
花布锦桥边瑶草喷香石崖突兀青苔润悬壁高张翠藓,花佈錦橋邊瑤草噴香石崖突兀青苔潤懸壁高張翠蘚
长时闻仙鹤唳每见凤凰翔仙鹤唳时声振九皋霄汉,長時聞仙鶴唳每見鳳凰翔仙鶴唳時聲振九皋霄漢
远凤凰翔起翎毛五色彩云光玄猿白鹿随隐见金狮玉,遠鳳凰翔起翎毛五色彩雲光玄猿白鹿隨隱見金獅玉
象任行藏细观灵福地真个赛天堂,象任行藏細觀靈福地真個賽天堂
又见那洞门紧闭静悄悄杳无人迹忽回头见崖头立一石碑,又見那洞門緊閉靜悄悄杳無人跡忽回頭見崖頭立一石碑
约有三丈[MASK]高八尺[MASK]阔上有一行十个大字乃是灵台方寸,約有三丈餘高八尺餘闊上有一行十個大字乃是靈臺方寸
山斜月三星洞美猴王十分欢喜道此间人果是朴实果有,山斜月三星洞美猴王十分歡喜道此間人果是樸實果有
此山此洞看勾多时不敢敲门且去跳上松枝梢头摘松子吃,此山此洞看勾多時不敢敲門且去跳上松枝梢頭摘松子吃
了顽耍,了頑耍
少顷间只听得呀的一声洞门开处里面走出一个仙童真,少頃間只聽得呀的一聲洞門開處裏面走出一個仙童真
个丰姿英伟像貌清奇比寻常俗子不同但见他,個丰姿英偉像貌清奇比尋常俗子不同但見他
髽髻双丝绾宽袍两袖风,髽髻雙絲綰寬袍兩袖風
貌和身自别心与相俱空,貌和身自別心與相俱空
物外长年客山中永寿童,物外長年客山中永壽童
一尘全不染甲子任翻腾,一塵全不染甲子任翻騰
那童子出得门来高叫道甚么人在此搔扰[MASK]猴王扑的跳下树,那童子出得門來高叫道甚麼人在此搔擾猴王撲的跳下樹
来上前躬身道仙童我是个访道学仙之弟子更不敢在此搔,來上前躬身道仙童我是個訪道學仙之弟子更不敢在此搔
扰仙童笑道你是个访道的么猴王道是童子道我家,擾仙童笑道你是個訪道的麼猴王道是童子道我家
师父正才下榻登坛讲道还未说出原由就教我出来开门,師父正才下榻登壇講道還未說出原由就教我出來開門
